Customer ID,segment,retention_action
12355.0,1,OFFER_DISCOUNT
12361.0,2,OFFER_DISCOUNT
12362.0,1,OFFER_DISCOUNT
12366.0,1,OFFER_DISCOUNT
12368.0,1,OFFER_DISCOUNT
12370.0,1,OFFER_DISCOUNT
12373.0,1,OFFER_DISCOUNT
12378.0,1,OFFER_DISCOUNT
12382.0,1,OFFER_DISCOUNT
12391.0,2,OFFER_DISCOUNT
12392.0,1,OFFER_DISCOUNT
12396.0,1,OFFER_DISCOUNT
12403.0,1,OFFER_DISCOUNT
12404.0,1,OFFER_DISCOUNT
12410.0,2,OFFER_DISCOUNT
12414.0,2,OFFER_DISCOUNT
12416.0,1,OFFER_DISCOUNT
12426.0,1,OFFER_DISCOUNT
12439.0,1,OFFER_DISCOUNT
12440.0,2,OFFER_DISCOUNT
12443.0,1,OFFER_DISCOUNT
12451.0,2,OFFER_DISCOUNT
12459.0,1,OFFER_DISCOUNT
12460.0,2,OFFER_DISCOUNT
12466.0,1,OFFER_DISCOUNT
12469.0,1,OFFER_DISCOUNT
12470.0,1,OFFER_DISCOUNT
12484.0,2,OFFER_DISCOUNT
12485.0,1,OFFER_DISCOUNT
12487.0,1,OFFER_DISCOUNT
12495.0,1,OFFER_DISCOUNT
12496.0,1,OFFER_DISCOUNT
12499.0,1,OFFER_DISCOUNT
12503.0,1,OFFER_DISCOUNT
12507.0,1,OFFER_DISCOUNT
12510.0,2,OFFER_DISCOUNT
12514.0,1,OFFER_DISCOUNT
12519.0,2,OFFER_DISCOUNT
12525.0,2,OFFER_DISCOUNT
12527.0,2,OFFER_DISCOUNT
12529.0,1,OFFER_DISCOUNT
12531.0,1,OFFER_DISCOUNT
12533.0,1,OFFER_DISCOUNT
12542.0,2,OFFER_DISCOUNT
12547.0,2,OFFER_DISCOUNT
12549.0,1,OFFER_DISCOUNT
12555.0,1,OFFER_DISCOUNT
12568.0,1,OFFER_DISCOUNT
12570.0,1,OFFER_DISCOUNT
12575.0,2,OFFER_DISCOUNT
12580.0,1,OFFER_DISCOUNT
12590.0,2,OFFER_DISCOUNT
12592.0,1,OFFER_DISCOUNT
12595.0,2,OFFER_DISCOUNT
12606.0,1,OFFER_DISCOUNT
12619.0,1,OFFER_DISCOUNT
12625.0,2,OFFER_DISCOUNT
12632.0,1,OFFER_DISCOUNT
12634.0,1,OFFER_DISCOUNT
12636.0,1,OFFER_DISCOUNT
12638.0,1,OFFER_DISCOUNT
12653.0,1,OFFER_DISCOUNT
12663.0,1,OFFER_DISCOUNT
12664.0,1,OFFER_DISCOUNT
12671.0,1,OFFER_DISCOUNT
12672.0,1,OFFER_DISCOUNT
12675.0,1,OFFER_DISCOUNT
12677.0,1,OFFER_DISCOUNT
12687.0,2,OFFER_DISCOUNT
12692.0,1,OFFER_DISCOUNT
12695.0,1,OFFER_DISCOUNT
12698.0,1,OFFER_DISCOUNT
12701.0,1,OFFER_DISCOUNT
12703.0,1,OFFER_DISCOUNT
12706.0,1,OFFER_DISCOUNT
12711.0,1,OFFER_DISCOUNT
12717.0,1,OFFER_DISCOUNT
